z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,N2
0.0071195652173913051,-0.61728169736223271,178.01464313119521,1966.8299438276651,0.1621504980052763,0.023111703046989316,0.00023090032203106805,1.8309871267881527e-06,0.003181490947430224,0.00013981591553143926,0.16462907855218356,1.4124602092477084e-06,6.3306464427318821e-05,3.0176846610012359e-06,0.0064040191210767219,0.038281265853836705,0.051337122977160587,0.058783752090277468,1.8217581167731854e-06,0.00026613689379015456,9.3416866627148765e-07,0.65356239075648537
0.0071739130434782614,-0.64160347224713843,175.79562049427514,1992.5489192534294,0.1608439143303325,0.022934329919977046,0.00034905821798310679,3.6647121545278998e-06,0.003586831641852248,0.00022042053699659206,0.16647713752663118,1.8197225784966858e-06,9.270984755838438e-05,4.5826320561006608e-06,0.0063380844442319003,0.027424559425769574,0.051136515270310059,0.0596855170242553,2.833339670599589e-06,0.00032189097118987312,1.3950208983094266e-06,0.66141864974588671
0.0072010869565217392,-0.65328704750581523,174.65484280948846,2004.0298907097294,0.16030809990572917,0.022735706331554601,0.00044711292526305768,5.6219853392428621e-06,0.0038596964319768815,0.00028857149394748762,0.16731054777071688,2.0941514701499169e-06,0.00011399001891206673,5.745685144330061e-06,0.0061804261563457221,0.022452576749237493,0.050865105283419317,0.060160950412369761,3.656221413158539e-06,0.0003526006629790748,1.7394835172607962e-06,0.66521385823639345
0.0072282608695652178,-0.66454670843683949,173.49355839481208,2014.3172040768025,0.1598710018911011,0.022437855994964787,0.00058242691764044045,9.0242911723923074e-06,0.0041954730786488426,0.00038625854641357677,0.16806145164832825,2.4189455700898195e-06,0.00013966933624521665,7.1857998712114973e-06,0.0059000059702144269,0.017860454640969432,0.050447746941651134,0.060659406650720851,4.7944634850070727e-06,0.0003837522337965056,2.1674116910033589e-06,0.66891990712861693
0.0072554347826086964,-0.67523665155516177,172.31211932538,2023.0373134262443,0.1595627178935702,0.022008776835668164,0.00076784721080986489,1.5272985196517739e-05,0.0046182294490618222,0.00052800260380480289,0.16870255249785013,2.7946704313139304e-06,0.00016831771304717994,8.8515221926597395e-06,0.0054590089864740713,0.013719213704869013,0.049840446463639325,0.06119029393919849,6.3553489024577066e-06,0.0004131112089017998,2.6664045828992656e-06,0.67254825845536947
0.0072826086956521742,-0.68516398654371102,171.11071790738558,2029.6909772742683,0.15942316085164954,0.021412257582573282,0.0010155943931644215,2.724430074375264e-05,0.0051624021824819887,0.00073305332959784815,0.16919594697213788,3.2164808039540771e-06,0.00019577162772435258,1.0537180935381865e-05,0.0048329489209830712,0.010103323899555877,0.048984634209274062,0.061763114874378529,8.42653245756295e-06,0.00043716806100643649,3.1794617945100747e-06,0.67611117999038706
0.007309782608695652,-0.69408399533020348,169.88934249476992,2033.636310752667,0.15950323396883861,0.020612498707170461,0.0013332724731195367,5.0748801791821192e-05,0.0058760064879288636,0.0010251448008503417,0.1694910955468491,3.6726547159140961e-06,0.00021471648808771296,1.1835214431466325e-05,0.0040283110160842812,0.0070763442755295862,0.047806556049032813,0.062384104326348333,1.1004416310168852e-05,0.0004508186827960066,3.590561885648112e-06,0.67962027949706794
0.0073233695652173917,-0.69805601026715036,169.27111392557234,2034.2970234806005,0.15964907162938916,0.020125935525760499,0.0015174575868887044,7.0833821637360245e-05,0.0063212268524110542,0.0012135288691080554,0.16954012435059132,3.9062437174312042e-06,0.00021787858753712812,1.216862836709697e-05,0.0035782911951563919,0.0057975918184785327,0.047063585903481031,0.062711782961855311,1.2422691817786422e-05,0.00045134757427508468,3.7089376197429118e-06,0.68135820845129758
0.0073369565217391306,-0.70166187766239385,168.64770791559914,2033.9724079936941,0.1598740180998201,0.019580223938043637,0.0017165329834236253,9.9007190082065196e-05,0.0068348699956303988,0.0014335068511546979,0.16951352869321251,4.137315405763768e-06,0.00021564179178176139,1.2201177742275378e-05,0.0031089168474316966,0.0046764527965953567,0.046207811365446168,0.063048632006228345,1.3848516635884119e-05,0.00044634253227553904,3.7413456836656649e-06,0.68308460465322651
0.0073505434782608695,-0.70486140913350381,168.01904417682292,2032.5518663656678,0.16018684666002367,0.018975593784504901,0.0019274239636451955,0.00013832313133687861,0.0074274614753982553,0.0016877297522511134,0.16940109908993253,4.3580637713302097e-06,0.0002073142885691655,1.1882478800677653e-05,0.0026350156036038766,0.0037099867504017487,0.045229872882224242,0.06339108981207868,1.5180099283618384e-05,0.00043455499867601366,3.6705825315810306e-06,0.68479944324299014
0.0073641304347826092,-0.70761686694708492,167.38502301706731,2029.9309668174003,0.1605960122537029,0.018314371395244271,0.0021459371000401507,0.00019234982963606544,0.0081101869664576953,0.0019775914025109169,0.16919258261537007,4.5590001881437196e-06,0.00019284267030895199,1.1195528757078737e-05,0.0021729706128690569,0.0028920309976607972,0.044122590298774113,0.063733879419120218,1.6283877095317152e-05,0.00041494233260186864,3.4890356972153176e-06,0.68650219691766801
0.0073777173913043481,-0.70989632534790337,166.74552723341387,2026.0211776519657,0.16110899814272617,0.01760129397675993,0.0023669265503308283,0.00026490098005758011,0.0088945085864515095,0.0023025920419430437,0.16887828482693046,4.729420792091998e-06,0.00017291984142493629,1.0166408684167082e-05,0.0017391436891282012,0.0022133646611833722,0.042882285521906725,0.064069869131695323,1.7004657324695765e-05,0.00038694541235553668,3.2012775487381588e-06,0.68819186301548285
0.007391304347826087,-0.71167771658779999,166.10042646716485,2020.7621403634068,0.16173147100515206,0.016843646895503359,0.0025846477896513389,0.0003595130660796391,0.0097916368820985516,0.0026597073742322896,0.16844987743202827,4.8588145156272781e-06,0.00014896962358360236,8.8669224391087865e-06,0.0013479780185629963,0.0016620883321215286,0.041510175145473567,0.064390120823321517,1.7190808583277536e-05,0.00035082618831538839,2.8254599036343055e-06,0.68986707042358653
